Table,NAME,FMTName,Type,Value,Label,Flat,Metro
AHS2015,JOBDIY2,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY20,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY20,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY21,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY21,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY22,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY22,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY23,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY23,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY24,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY24,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY25,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY25,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY26,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY26,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY3,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY3,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY4,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY4,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY5,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY5,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY6,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY6,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY7,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY7,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY8,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY8,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY9,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY9,JOBDIY,C,2,No,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,M,Not reported,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,1,Earthquake damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,2,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,3,Landslide damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,4,Lightning or fire damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,5,Flood damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,6,Other natural disaster damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,7,Added bedroom onto home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,8,Added bathroom onto home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,9,Added recreation room onto home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,10,Added kitchen onto home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,11,Added other inside room onto home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,12,Bathroom remodeled,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,13,Kitchen remodeled,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,14,Attached garage or carport added to home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,15,"Porch, deck, patio, or terrace added to home",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,16,Added or replaced roof over entire home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,17,Added or replaced siding on home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,18,Added or replaced doors or windows in home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,19,"Added or replaced chimney, stairs or other exterior addition",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,20,Added or replaced insulation in home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,21,Added or replaced internal water pipes in home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,22,Added or replaced plumbing fixtures in home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,23,"Added or replaced electrical wiring, fuse boxes, or breaker switches in home",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,24,Added or replaced security system in home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,25,"Added or replaced carpeting, flooring, paneling, or ceiling tiles",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,26,Added or replaced central air conditioning,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,27,Added or replaced built-in heating equipment,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,28,Added or replaced septic tank,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,29,Added or replaced water heater,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,30,Added or replaced built-in dishwasher or garbage disposal,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,31,Other major improvements or repairs inside home (up to three could be reported),YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,32,Added or replaced driveways or walkways,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,33,Added or replaced fencing or walls,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,34,"Added or replaced swimming pool, tennis court, or other recreational structure",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,35,"Added or replaced shed, detached garage, or other building",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,36,Added or replaced landscaping or sprinkler system,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,37,Other major improvements or repairs to lot or yard (up to three could be reported),YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,1,Earthquake damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,2,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,3,Landslide damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,4,Lightning or fire damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,5,Flood damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,6,Other natural disaster damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,7,Added bedroom onto home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,8,Added bathroom onto home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,9,Added recreation room onto home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,10,Added kitchen onto home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,11,Added other inside room onto home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,12,Bathroom remodeled,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,13,Kitchen remodeled,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,14,Attached garage or carport added to home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,15,"Porch, deck, patio, or terrace added to home",YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,16,Added or replaced roof over entire home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,17,Added or replaced siding on home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,18,Added or replaced doors or windows in home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,19,"Added or replaced chimney, stairs or other exterior addition",YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,20,Added or replaced insulation in home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,21,Added or replaced internal water pipes in home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,22,Added or replaced plumbing fixtures in home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,23,"Added or replaced electrical wiring, fuse boxes, or breaker switches in home",YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,24,Added or replaced security system in home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,25,"Added or replaced carpeting, flooring, paneling, or ceiling tiles",YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,26,Added or replaced central air conditioning,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,27,Added or replaced built-in heating equipment,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,28,Added or replaced septic tank,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,29,Added or replaced water heater,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,30,Added or replaced built-in dishwasher or garbage disposal,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,31,Other major improvements or repairs inside home (up to three could be reported),YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,32,Added or replaced driveways or walkways,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,33,Added or replaced fencing or walls,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,34,"Added or replaced swimming pool, tennis court, or other recreational structure",YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,35,"Added or replaced shed, detached garage, or other building",YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,36,Added or replaced landscaping or sprinkler system,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,37,Other major improvements or repairs to lot or yard (up to three could be reported),YES,YES
AHS2015,JOBTYPE11,JOBTYPE,C,1,Earthquake damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE11,JOBTYPE,C,2,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
AHS2015,JOBTYPE11,JOBTYPE,C,3,Landslide damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE11,JOBTYPE,C,4,Lightning or fire damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE11,JOBTYPE,C,5,Flood damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE11,JOBTYPE,C,6,Other natural disaster damage required extensive repairs to home,YES,YES
