Table,NAME,FMTName,Type,Value,Label,Flat,
AHS2013N,MAR4,MAR,C,D,Don't know,YES,
AHS2013N,MAR5,MAR,C,1,"Married, spouse present",YES,
AHS2013N,MAR5,MAR,C,2,"Married, spouse absent",YES,
AHS2013N,MAR5,MAR,C,3,Widowed,YES,
AHS2013N,MAR5,MAR,C,4,Divorced,YES,
AHS2013N,MAR5,MAR,C,5,Separated,YES,
AHS2013N,MAR5,MAR,C,6,Never married,YES,
AHS2013N,MAR5,MAR,C,B,Not applicable,YES,
AHS2013N,MAR5,MAR,C,D,Don't know,YES,
AHS2013N,MAR6,MAR,C,1,"Married, spouse present",YES,
AHS2013N,MAR6,MAR,C,2,"Married, spouse absent",YES,
AHS2013N,MAR6,MAR,C,3,Widowed,YES,
AHS2013N,MAR6,MAR,C,4,Divorced,YES,
AHS2013N,MAR6,MAR,C,5,Separated,YES,
AHS2013N,MAR6,MAR,C,6,Never married,YES,
AHS2013N,MAR6,MAR,C,B,Not applicable,YES,
AHS2013N,MAR6,MAR,C,D,Don't know,YES,
AHS2013N,MAR7,MAR,C,1,"Married, spouse present",YES,
AHS2013N,MAR7,MAR,C,2,"Married, spouse absent",YES,
AHS2013N,MAR7,MAR,C,3,Widowed,YES,
AHS2013N,MAR7,MAR,C,4,Divorced,YES,
AHS2013N,MAR7,MAR,C,5,Separated,YES,
AHS2013N,MAR7,MAR,C,6,Never married,YES,
AHS2013N,MAR7,MAR,C,B,Not applicable,YES,
AHS2013N,MAR7,MAR,C,D,Don't know,YES,
AHS2013N,MAR8,MAR,C,1,"Married, spouse present",YES,
AHS2013N,MAR8,MAR,C,2,"Married, spouse absent",YES,
AHS2013N,MAR8,MAR,C,3,Widowed,YES,
AHS2013N,MAR8,MAR,C,4,Divorced,YES,
AHS2013N,MAR8,MAR,C,5,Separated,YES,
AHS2013N,MAR8,MAR,C,6,Never married,YES,
AHS2013N,MAR8,MAR,C,B,Not applicable,YES,
AHS2013N,MAR8,MAR,C,D,Don't know,YES,
AHS2013N,MAR9,MAR,C,1,"Married, spouse present",YES,
AHS2013N,MAR9,MAR,C,2,"Married, spouse absent",YES,
AHS2013N,MAR9,MAR,C,3,Widowed,YES,
AHS2013N,MAR9,MAR,C,4,Divorced,YES,
AHS2013N,MAR9,MAR,C,5,Separated,YES,
AHS2013N,MAR9,MAR,C,6,Never married,YES,
AHS2013N,MAR9,MAR,C,B,Not applicable,YES,
AHS2013N,MAR9,MAR,C,D,Don't know,YES,
AHS2013N,MARKET,MARKET,C,,Not reported,YES,
AHS2013N,MARKET,MARKET,C,1,Rent only,YES,
AHS2013N,MARKET,MARKET,C,2,Rent or for sale,YES,
AHS2013N,MARKET,MARKET,C,3,Sale only,YES,
AHS2013N,MARKET,MARKET,C,B,Not applicable,YES,
AHS2013N,MARKET,MARKET,C,D,Don't know,YES,
AHS2013N,MARKT,MARKT,C,,Not reported,YES,
AHS2013N,MARKT,MARKT,C,1,Yes,YES,
AHS2013N,MARKT,MARKT,C,2,No,YES,
AHS2013N,MARKT,MARKT,C,B,Not applicable,YES,
AHS2013N,MARKT,MARKT,C,D,Don't know,YES,
AHS2013N,MARKT,MARKT,C,R,Refused,YES,
AHS2013N,MATBUY,MATBUY,C,1,Yes,YES,
AHS2013N,MATBUY,MATBUY,C,2,No,YES,
AHS2013N,MATBUY,MATBUY,C,B,Not applicable,YES,
AHS2013N,MATBY2,MATBY,C,1,Yes,YES,
AHS2013N,MATBY2,MATBY,C,2,No,YES,
AHS2013N,MATBY2,MATBY,C,B,Not applicable,YES,
AHS2013N,MATBY3,MATBY,C,1,Yes,YES,
AHS2013N,MATBY3,MATBY,C,2,No,YES,
AHS2013N,MATBY3,MATBY,C,B,Not applicable,YES,
AHS2013N,MAXADJ,MAXADJ,C,,Not reported,YES,
AHS2013N,MAXADJ,MAXADJ,C,1,Yes,YES,
AHS2013N,MAXADJ,MAXADJ,C,2,No,YES,
AHS2013N,MAXADJ,MAXADJ,C,B,Not applicable,YES,
AHS2013N,MAXADJ,MAXADJ,C,D,Don't know,YES,
AHS2013N,MAXADJ,MAXADJ,C,R,Refused,YES,
AHS2013N,MAXADJ2,MAXADJ,C,,Not reported,YES,
AHS2013N,MAXADJ2,MAXADJ,C,1,Yes,YES,
AHS2013N,MAXADJ2,MAXADJ,C,2,No,YES,
AHS2013N,MAXADJ2,MAXADJ,C,B,Not applicable,YES,
AHS2013N,MAXADJ2,MAXADJ,C,D,Don't know,YES,
AHS2013N,MAXADJ2,MAXADJ,C,R,Refused,YES,
AHS2013N,MAXADJ3,MAXADJ,C,,Not reported,YES,
AHS2013N,MAXADJ3,MAXADJ,C,1,Yes,YES,
AHS2013N,MAXADJ3,MAXADJ,C,2,No,YES,
AHS2013N,MAXADJ3,MAXADJ,C,B,Not applicable,YES,
AHS2013N,MAXADJ3,MAXADJ,C,D,Don't know,YES,
AHS2013N,MAXADJ3,MAXADJ,C,R,Refused,YES,
AHS2013N,MCNT,MCNT,N,.B,Not applicable,YES,
AHS2013N,METRO3,METRO,C,1,Central city of MSA,YES,
AHS2013N,METRO3,METRO,C,2,"Inside MSA, but not in central city - urban",YES,
AHS2013N,METRO3,METRO,C,3,"Inside MSA, but not in central city - rural",YES,
AHS2013N,METRO3,METRO,C,4,"Outside MSA, urban",YES,
AHS2013N,METRO3,METRO,C,5,"Outside MSA, rural",YES,
AHS2013N,MG,MG,C,1,Yes,YES,
AHS2013N,MG,MG,C,2,No,YES,
AHS2013N,MG,MG,C,B,Not applicable,YES,
AHS2013N,MGRESA,MGRESA,C,,Not reported,YES,
AHS2013N,MGRESA,MGRESA,C,1,Yes,YES,
AHS2013N,MGRESA,MGRESA,C,2,No,YES,
AHS2013N,MGRESA,MGRESA,C,B,Not applicable,YES,
AHS2013N,MGRESA,MGRESA,C,D,Don't know,YES,
AHS2013N,MGRESA,MGRESA,C,R,Refused,YES,
AHS2013N,MGRESA2,MGRESA,C,,Not reported,YES,
AHS2013N,MGRESA2,MGRESA,C,1,Yes,YES,
AHS2013N,MGRESA2,MGRESA,C,2,No,YES,
AHS2013N,MGRESA2,MGRESA,C,B,Not applicable,YES,
AHS2013N,MGRESA2,MGRESA,C,D,Don't know,YES,
AHS2013N,MGRESA2,MGRESA,C,R,Refused,YES,
AHS2013N,MGRESA3,MGRESA,C,,Not reported,YES,
AHS2013N,MGRESA3,MGRESA,C,1,Yes,YES,
AHS2013N,MGRESA3,MGRESA,C,2,No,YES,
AHS2013N,MGRESA3,MGRESA,C,B,Not applicable,YES,
AHS2013N,MGRESA3,MGRESA,C,D,Don't know,YES,
AHS2013N,MGRESA3,MGRESA,C,R,Refused,YES,
AHS2013N,MHOTFE,MHOTFE,N,.,Not reported,YES,
AHS2013N,MHOTFE,MHOTFE,N,.B,Not applicable,YES,
AHS2013N,MHOTFE,MHOTFE,N,.D,Don't know,YES,
AHS2013N,MHOTFE,MHOTFE,N,.R,Refused,YES,
AHS2013N,MHSETQ,MHSETQ,C,,Not reported,YES,
AHS2013N,MHSETQ,MHSETQ,C,1,Permanent masonry foundation,YES,
AHS2013N,MHSETQ,MHSETQ,C,2,Resting on concrete pad,YES,
AHS2013N,MHSETQ,MHSETQ,C,3,Up on blocks,YES,
AHS2013N,MHSETQ,MHSETQ,C,4,Set up some other way,YES,
AHS2013N,MHSETQ,MHSETQ,C,B,Not applicable,YES,
AHS2013N,MHSETQ,MHSETQ,C,D,Don't know,YES,
AHS2013N,MHSETQ,MHSETQ,C,R,Refused,YES,
AHS2013N,MHSTAY,MHSTAY,C,,Not reported,YES,
AHS2013N,MHSTAY,MHSTAY,C,1,Remain,YES,
AHS2013N,MHSTAY,MHSTAY,C,2,To be moved,YES,
AHS2013N,MHSTAY,MHSTAY,C,B,Not applicable,YES,
AHS2013N,MHSTAY,MHSTAY,C,D,Don't know,YES,
AHS2013N,MICE,MICE,C,1,Yes,YES,
AHS2013N,MICE,MICE,C,2,No,YES,
AHS2013N,MICE,MICE,C,B,Not applicable,YES,
AHS2013N,MINPM,MINPM,C,1,Yes,YES,
AHS2013N,MINPM,MINPM,C,2,No,YES,
AHS2013N,MINPM,MINPM,C,B,Not applicable,YES,
AHS2013N,MINPM,MINPM,C,D,Don't know,YES,
AHS2013N,MINPM,MINPM,C,R,Refused,YES,
AHS2013N,MINPM2,MINPM,C,1,Yes,YES,
AHS2013N,MINPM2,MINPM,C,2,No,YES,
AHS2013N,MINPM2,MINPM,C,B,Not applicable,YES,
AHS2013N,MINPM2,MINPM,C,D,Don't know,YES,
AHS2013N,MINPM2,MINPM,C,R,Refused,YES,
AHS2013N,MINPM3,MINPM,C,1,Yes,YES,
AHS2013N,MINPM3,MINPM,C,2,No,YES,
AHS2013N,MINPM3,MINPM,C,B,Not applicable,YES,
AHS2013N,MINPM3,MINPM,C,D,Don't know,YES,
AHS2013N,MINPM3,MINPM,C,R,Refused,YES,
AHS2013N,MINR1,MINR,C,,Not reported,YES,
AHS2013N,MINR1,MINR,C,1,"Yes, usually",YES,
AHS2013N,MINR1,MINR,C,2,Not usually,YES,
AHS2013N,MINR1,MINR,C,3,Very mixed,YES,
AHS2013N,MINR1,MINR,C,4,Haven't needed any,YES,
AHS2013N,MINR1,MINR,C,5,Landlord not responsible for minor repairs,YES,
AHS2013N,MINR1,MINR,C,B,Not applicable,YES,
AHS2013N,MINR1,MINR,C,D,Don't know,YES,
AHS2013N,MINR1,MINR,C,R,Refused,YES,
AHS2013N,MINR2,MINR,C,,Not reported,YES,
AHS2013N,MINR2,MINR,C,1,"Yes, usually",YES,
AHS2013N,MINR2,MINR,C,2,Not usually,YES,
AHS2013N,MINR2,MINR,C,3,Very mixed,YES,
AHS2013N,MINR2,MINR,C,4,Haven't needed any,YES,
AHS2013N,MINR2,MINR,C,5,Landlord not responsible for minor repairs,YES,
AHS2013N,MINR2,MINR,C,B,Not applicable,YES,
AHS2013N,MINR2,MINR,C,D,Don't know,YES,
AHS2013N,MINR2,MINR,C,R,Refused,YES,
AHS2013N,MINR3,MINR,C,,Not reported,YES,
AHS2013N,MINR3,MINR,C,1,"Yes, usually",YES,
AHS2013N,MINR3,MINR,C,2,Not usually,YES,
AHS2013N,MINR3,MINR,C,3,Very mixed,YES,
AHS2013N,MINR3,MINR,C,4,Haven't needed any,YES,
AHS2013N,MINR3,MINR,C,5,Landlord not responsible for minor repairs,YES,
AHS2013N,MINR3,MINR,C,B,Not applicable,YES,
AHS2013N,MINR3,MINR,C,D,Don't know,YES,
AHS2013N,MINR3,MINR,C,R,Refused,YES,
AHS2013N,MLNCLS,MLNCLS,C,,Not reported,YES,
AHS2013N,MLNCLS,MLNCLS,C,1,Yes,YES,
AHS2013N,MLNCLS,MLNCLS,C,2,No,YES,
AHS2013N,MLNCLS,MLNCLS,C,B,Not applicable,YES,
AHS2013N,MLNCLS,MLNCLS,C,D,Don't know,YES,
AHS2013N,MLNCLS,MLNCLS,C,R,Refused,YES,
AHS2013N,MLNCLS2,MLNCLS,C,,Not reported,YES,
AHS2013N,MLNCLS2,MLNCLS,C,1,Yes,YES,
AHS2013N,MLNCLS2,MLNCLS,C,2,No,YES,
AHS2013N,MLNCLS2,MLNCLS,C,B,Not applicable,YES,
AHS2013N,MLNCLS2,MLNCLS,C,D,Don't know,YES,
AHS2013N,MLNCLS2,MLNCLS,C,R,Refused,YES,
AHS2013N,MLNCLS3,MLNCLS,C,,Not reported,YES,
AHS2013N,MLNCLS3,MLNCLS,C,1,Yes,YES,
AHS2013N,MLNCLS3,MLNCLS,C,2,No,YES,
AHS2013N,MLNCLS3,MLNCLS,C,B,Not applicable,YES,
AHS2013N,MLNCLS3,MLNCLS,C,D,Don't know,YES,
AHS2013N,MLNCLS3,MLNCLS,C,R,Refused,YES,
AHS2013N,MLNDWN,MLNDWN,C,,Not reported,YES,
AHS2013N,MLNDWN,MLNDWN,C,1,Yes,YES,
AHS2013N,MLNDWN,MLNDWN,C,2,No,YES,
AHS2013N,MLNDWN,MLNDWN,C,B,Not applicable,YES,
AHS2013N,MLNDWN,MLNDWN,C,D,Don't know,YES,
AHS2013N,MLNDWN,MLNDWN,C,R,Refused,YES,
AHS2013N,MLNDWN2,MLNDWN,C,,Not reported,YES,
AHS2013N,MLNDWN2,MLNDWN,C,1,Yes,YES,
AHS2013N,MLNDWN2,MLNDWN,C,2,No,YES,
AHS2013N,MLNDWN2,MLNDWN,C,B,Not applicable,YES,
AHS2013N,MLNDWN2,MLNDWN,C,D,Don't know,YES,
AHS2013N,MLNDWN2,MLNDWN,C,R,Refused,YES,
AHS2013N,MLNDWN3,MLNDWN,C,,Not reported,YES,
AHS2013N,MLNDWN3,MLNDWN,C,1,Yes,YES,
AHS2013N,MLNDWN3,MLNDWN,C,2,No,YES,
AHS2013N,MLNDWN3,MLNDWN,C,B,Not applicable,YES,
AHS2013N,MLNDWN3,MLNDWN,C,D,Don't know,YES,
AHS2013N,MLNDWN3,MLNDWN,C,R,Refused,YES,
AHS2013N,MLNINT,MLNINT,C,,Not reported,YES,
AHS2013N,MLNINT,MLNINT,C,1,Yes,YES,
AHS2013N,MLNINT,MLNINT,C,2,No,YES,
AHS2013N,MLNINT,MLNINT,C,B,Not applicable,YES,
AHS2013N,MLNINT,MLNINT,C,D,Don't know,YES,
AHS2013N,MLNINT,MLNINT,C,R,Refused,YES,
AHS2013N,MLNINT2,MLNINT,C,,Not reported,YES,
AHS2013N,MLNINT2,MLNINT,C,1,Yes,YES,
AHS2013N,MLNINT2,MLNINT,C,2,No,YES,
AHS2013N,MLNINT2,MLNINT,C,B,Not applicable,YES,
AHS2013N,MLNINT2,MLNINT,C,D,Don't know,YES,
AHS2013N,MLNINT2,MLNINT,C,R,Refused,YES,
AHS2013N,MLNINT3,MLNINT,C,,Not reported,YES,
AHS2013N,MLNINT3,MLNINT,C,1,Yes,YES,
AHS2013N,MLNINT3,MLNINT,C,2,No,YES,
AHS2013N,MLNINT3,MLNINT,C,B,Not applicable,YES,
AHS2013N,MLNINT3,MLNINT,C,D,Don't know,YES,
AHS2013N,MLNINT3,MLNINT,C,R,Refused,YES,
AHS2013N,MLNOTH,MLNOTH,C,,Not reported,YES,
AHS2013N,MLNOTH,MLNOTH,C,1,Yes,YES,
AHS2013N,MLNOTH,MLNOTH,C,2,No,YES,
AHS2013N,MLNOTH,MLNOTH,C,B,Not applicable,YES,
AHS2013N,MLNOTH,MLNOTH,C,D,Don't know,YES,
AHS2013N,MLNOTH,MLNOTH,C,R,Refused,YES,
AHS2013N,MLNOTH2,MLNOTH,C,,Not reported,YES,
AHS2013N,MLNOTH2,MLNOTH,C,1,Yes,YES,
AHS2013N,MLNOTH2,MLNOTH,C,2,No,YES,
AHS2013N,MLNOTH2,MLNOTH,C,B,Not applicable,YES,
AHS2013N,MLNOTH2,MLNOTH,C,D,Don't know,YES,
AHS2013N,MLNOTH2,MLNOTH,C,R,Refused,YES,
AHS2013N,MLNOTH3,MLNOTH,C,,Not reported,YES,
AHS2013N,MLNOTH3,MLNOTH,C,1,Yes,YES,
AHS2013N,MLNOTH3,MLNOTH,C,2,No,YES,
AHS2013N,MLNOTH3,MLNOTH,C,B,Not applicable,YES,
AHS2013N,MLNOTH3,MLNOTH,C,D,Don't know,YES,
AHS2013N,MLNOTH3,MLNOTH,C,R,Refused,YES,
AHS2013N,MLNPM,MLNPM,C,,Not reported,YES,
AHS2013N,MLNPM,MLNPM,C,1,Yes,YES,
AHS2013N,MLNPM,MLNPM,C,2,No,YES,
AHS2013N,MLNPM,MLNPM,C,B,Not applicable,YES,
AHS2013N,MLNPM,MLNPM,C,D,Don't know,YES,
AHS2013N,MLNPM,MLNPM,C,R,Refused,YES,
AHS2013N,MLNPM2,MLNPM,C,,Not reported,YES,
AHS2013N,MLNPM2,MLNPM,C,1,Yes,YES,
AHS2013N,MLNPM2,MLNPM,C,2,No,YES,
AHS2013N,MLNPM2,MLNPM,C,B,Not applicable,YES,
AHS2013N,MLNPM2,MLNPM,C,D,Don't know,YES,
AHS2013N,MLNPM2,MLNPM,C,R,Refused,YES,
AHS2013N,MLNPM3,MLNPM,C,,Not reported,YES,
AHS2013N,MLNPM3,MLNPM,C,1,Yes,YES,
AHS2013N,MLNPM3,MLNPM,C,2,No,YES,
AHS2013N,MLNPM3,MLNPM,C,B,Not applicable,YES,
AHS2013N,MLNPM3,MLNPM,C,D,Don't know,YES,
AHS2013N,MLNPM3,MLNPM,C,R,Refused,YES,
AHS2013N,MOBILTYP,MOBILTYP,C,1,Single-wide unit,YES,
AHS2013N,MOBILTYP,MOBILTYP,C,2,Double-wide or larger unit,YES,
AHS2013N,MOBILTYP,MOBILTYP,C,B,Not applicable,YES,
AHS2013N,MOPERM,MOPERM,N,.,Not reported,YES,
AHS2013N,MOPERM,MOPERM,N,0,Less than 1 month,YES,
AHS2013N,MOPERM,MOPERM,N,25,Over 2 years,YES,
AHS2013N,MOPERM,MOPERM,N,26,Never occupied as a permanent home,YES,
AHS2013N,MOPERM,MOPERM,N,.B,Not applicable,YES,
AHS2013N,MOPERM,MOPERM,N,.D,Don't know,YES,
AHS2013N,MOPERM,MOPERM,N,.R,Refused,YES,
AHS2013N,MORTIN,MORTIN,C,,Not reported,YES,
AHS2013N,MORTIN,MORTIN,C,1,Federal Housing Administration,YES,
AHS2013N,MORTIN,MORTIN,C,2,Veterans Administration,YES,
AHS2013N,MORTIN,MORTIN,C,3,Rural Housing Service / Rural Development,YES,
AHS2013N,MORTIN,MORTIN,C,4,None of these,YES,
AHS2013N,MORTIN,MORTIN,C,B,Not applicable,YES,
AHS2013N,MORTIN,MORTIN,C,D,Don't know,YES,
AHS2013N,MORTIN,MORTIN,C,R,Refused,YES,
AHS2013N,MORTN2,MORTN,C,,Not reported,YES,
AHS2013N,MORTN2,MORTN,C,4,None of these,YES,
AHS2013N,MORTN2,MORTN,C,B,Not applicable,YES,
AHS2013N,MORTN2,MORTN,C,D,Don't know,YES,
AHS2013N,MORTN2,MORTN,C,R,Refused,YES,
AHS2013N,MORTN3,MORTN,C,,Not reported,YES,
AHS2013N,MORTN3,MORTN,C,4,None of these,YES,
AHS2013N,MORTN3,MORTN,C,B,Not applicable,YES,
AHS2013N,MORTN3,MORTN,C,D,Don't know,YES,
AHS2013N,MORTN3,MORTN,C,R,Refused,YES,
AHS2013N,MOSALL,MOSALL,C,1,Yes,YES,
AHS2013N,MOSALL,MOSALL,C,2,No,YES,
AHS2013N,MOSALL,MOSALL,C,D,Don't know,YES,
AHS2013N,MOSALL,MOSALL,C,R,Refused,YES,
AHS2013N,MOSAPR,MOSAPR,C,1,Yes,YES,
AHS2013N,MOSAPR,MOSAPR,C,2,No,YES,
AHS2013N,MOSAPR,MOSAPR,C,D,Don't know,YES,
AHS2013N,MOSAPR,MOSAPR,C,R,Refused,YES,
AHS2013N,MOSAUG,MOSAUG,C,1,Yes,YES,
AHS2013N,MOSAUG,MOSAUG,C,2,No,YES,
AHS2013N,MOSAUG,MOSAUG,C,D,Don't know,YES,
AHS2013N,MOSAUG,MOSAUG,C,R,Refused,YES,
AHS2013N,MOSDEC,MOSDEC,C,1,Yes,YES,
AHS2013N,MOSDEC,MOSDEC,C,2,No,YES,
AHS2013N,MOSDEC,MOSDEC,C,D,Don't know,YES,
AHS2013N,MOSDEC,MOSDEC,C,R,Refused,YES,
AHS2013N,MOSFEB,MOSFEB,C,1,Yes,YES,
AHS2013N,MOSFEB,MOSFEB,C,2,No,YES,
AHS2013N,MOSFEB,MOSFEB,C,D,Don't know,YES,
AHS2013N,MOSFEB,MOSFEB,C,R,Refused,YES,
AHS2013N,MOSJAN,MOSJAN,C,1,Yes,YES,
AHS2013N,MOSJAN,MOSJAN,C,2,No,YES,
AHS2013N,MOSJAN,MOSJAN,C,D,Don't know,YES,
AHS2013N,MOSJAN,MOSJAN,C,R,Refused,YES,
AHS2013N,MOSJUL,MOSJUL,C,1,Yes,YES,
AHS2013N,MOSJUL,MOSJUL,C,2,No,YES,
AHS2013N,MOSJUL,MOSJUL,C,D,Don't know,YES,
AHS2013N,MOSJUL,MOSJUL,C,R,Refused,YES,
AHS2013N,MOSJUN,MOSJUN,C,1,Yes,YES,
AHS2013N,MOSJUN,MOSJUN,C,2,No,YES,
AHS2013N,MOSJUN,MOSJUN,C,D,Don't know,YES,
AHS2013N,MOSJUN,MOSJUN,C,R,Refused,YES,
AHS2013N,MOSMAR,MOSMAR,C,1,Yes,YES,
AHS2013N,MOSMAR,MOSMAR,C,2,No,YES,
AHS2013N,MOSMAR,MOSMAR,C,D,Don't know,YES,
AHS2013N,MOSMAR,MOSMAR,C,R,Refused,YES,
AHS2013N,MOSMAY,MOSMAY,C,1,Yes,YES,
AHS2013N,MOSMAY,MOSMAY,C,2,No,YES,
AHS2013N,MOSMAY,MOSMAY,C,D,Don't know,YES,
AHS2013N,MOSMAY,MOSMAY,C,R,Refused,YES,
AHS2013N,MOSNOV,MOSNOV,C,1,Yes,YES,
AHS2013N,MOSNOV,MOSNOV,C,2,No,YES,
AHS2013N,MOSNOV,MOSNOV,C,D,Don't know,YES,
AHS2013N,MOSNOV,MOSNOV,C,R,Refused,YES,
AHS2013N,MOSOCT,MOSOCT,C,1,Yes,YES,
AHS2013N,MOSOCT,MOSOCT,C,2,No,YES,
AHS2013N,MOSOCT,MOSOCT,C,D,Don't know,YES,
AHS2013N,MOSOCT,MOSOCT,C,R,Refused,YES,
AHS2013N,MOSSEP,MOSSEP,C,1,Yes,YES,
AHS2013N,MOSSEP,MOSSEP,C,2,No,YES,
AHS2013N,MOSSEP,MOSSEP,C,D,Don't know,YES,
AHS2013N,MOSSEP,MOSSEP,C,R,Refused,YES,
AHS2013N,MOVAC,MOVAC,N,0,0 to 1 month,YES,
AHS2013N,MOVAC,MOVAC,N,25,2 or more years,YES,
AHS2013N,MOVAC,MOVAC,N,26,Never occupied,YES,
AHS2013N,MOVAC,MOVAC,N,.B,Not applicable,YES,
AHS2013N,MOVAC,MOVAC,N,.D,Don't know,YES,
AHS2013N,MOVAC,MOVAC,N,.R,Refused,YES,
AHS2013N,MOVEDLY,MOVEDLY,C,1,Yes,YES,
AHS2013N,MOVEDLY,MOVEDLY,C,2,No,YES,
AHS2013N,MOVEDLY,MOVEDLY,C,B,Not applicable,YES,
AHS2013N,MOVM1,MOVM,N,1,January,YES,
AHS2013N,MOVM1,MOVM,N,10,October,YES,
AHS2013N,MOVM1,MOVM,N,11,November,YES,
AHS2013N,MOVM1,MOVM,N,12,December,YES,
AHS2013N,MOVM1,MOVM,N,2,February,YES,
AHS2013N,MOVM1,MOVM,N,3,March,YES,
AHS2013N,MOVM1,MOVM,N,4,April,YES,
AHS2013N,MOVM1,MOVM,N,5,May,YES,
AHS2013N,MOVM1,MOVM,N,6,June,YES,
AHS2013N,MOVM1,MOVM,N,7,July,YES,
AHS2013N,MOVM1,MOVM,N,8,August,YES,
AHS2013N,MOVM1,MOVM,N,9,September,YES,
AHS2013N,MOVM10,MOVM,N,1,January,YES,
AHS2013N,MOVM10,MOVM,N,10,October,YES,
AHS2013N,MOVM10,MOVM,N,11,November,YES,
AHS2013N,MOVM10,MOVM,N,12,December,YES,
AHS2013N,MOVM10,MOVM,N,2,February,YES,
AHS2013N,MOVM10,MOVM,N,3,March,YES,
AHS2013N,MOVM10,MOVM,N,4,April,YES,
AHS2013N,MOVM10,MOVM,N,5,May,YES,
AHS2013N,MOVM10,MOVM,N,6,June,YES,
AHS2013N,MOVM10,MOVM,N,7,July,YES,
AHS2013N,MOVM10,MOVM,N,8,August,YES,
AHS2013N,MOVM10,MOVM,N,9,September,YES,
AHS2013N,MOVM11,MOVM,N,1,January,YES,
AHS2013N,MOVM11,MOVM,N,10,October,YES,
AHS2013N,MOVM11,MOVM,N,11,November,YES,
AHS2013N,MOVM11,MOVM,N,12,December,YES,
AHS2013N,MOVM11,MOVM,N,2,February,YES,
AHS2013N,MOVM11,MOVM,N,3,March,YES,
AHS2013N,MOVM11,MOVM,N,4,April,YES,
AHS2013N,MOVM11,MOVM,N,5,May,YES,
AHS2013N,MOVM11,MOVM,N,6,June,YES,
AHS2013N,MOVM11,MOVM,N,7,July,YES,
AHS2013N,MOVM11,MOVM,N,8,August,YES,
AHS2013N,MOVM11,MOVM,N,9,September,YES,
AHS2013N,MOVM12,MOVM,N,1,January,YES,
AHS2013N,MOVM12,MOVM,N,10,October,YES,
AHS2013N,MOVM12,MOVM,N,11,November,YES,
AHS2013N,MOVM12,MOVM,N,12,December,YES,
AHS2013N,MOVM12,MOVM,N,2,February,YES,
AHS2013N,MOVM12,MOVM,N,3,March,YES,
AHS2013N,MOVM12,MOVM,N,4,April,YES,
AHS2013N,MOVM12,MOVM,N,5,May,YES,
AHS2013N,MOVM12,MOVM,N,6,June,YES,
AHS2013N,MOVM12,MOVM,N,7,July,YES,
AHS2013N,MOVM12,MOVM,N,8,August,YES,
AHS2013N,MOVM12,MOVM,N,9,September,YES,
AHS2013N,MOVM13,MOVM,N,1,January,YES,
AHS2013N,MOVM13,MOVM,N,10,October,YES,
AHS2013N,MOVM13,MOVM,N,11,November,YES,
AHS2013N,MOVM13,MOVM,N,12,December,YES,
AHS2013N,MOVM13,MOVM,N,2,February,YES,
AHS2013N,MOVM13,MOVM,N,3,March,YES,
AHS2013N,MOVM13,MOVM,N,4,April,YES,
AHS2013N,MOVM13,MOVM,N,5,May,YES,
AHS2013N,MOVM13,MOVM,N,6,June,YES,
AHS2013N,MOVM13,MOVM,N,7,July,YES,
AHS2013N,MOVM13,MOVM,N,8,August,YES,
AHS2013N,MOVM13,MOVM,N,9,September,YES,
AHS2013N,MOVM14,MOVM,N,1,January,YES,
AHS2013N,MOVM14,MOVM,N,10,October,YES,
AHS2013N,MOVM14,MOVM,N,11,November,YES,
AHS2013N,MOVM14,MOVM,N,12,December,YES,
AHS2013N,MOVM14,MOVM,N,2,February,YES,
AHS2013N,MOVM14,MOVM,N,3,March,YES,
AHS2013N,MOVM14,MOVM,N,4,April,YES,
AHS2013N,MOVM14,MOVM,N,5,May,YES,
AHS2013N,MOVM14,MOVM,N,6,June,YES,
AHS2013N,MOVM14,MOVM,N,7,July,YES,
AHS2013N,MOVM14,MOVM,N,8,August,YES,
AHS2013N,MOVM14,MOVM,N,9,September,YES,
AHS2013N,MOVM15,MOVM,N,1,January,YES,
AHS2013N,MOVM15,MOVM,N,10,October,YES,
AHS2013N,MOVM15,MOVM,N,11,November,YES,
AHS2013N,MOVM15,MOVM,N,12,December,YES,
AHS2013N,MOVM15,MOVM,N,2,February,YES,
AHS2013N,MOVM15,MOVM,N,3,March,YES,
AHS2013N,MOVM15,MOVM,N,4,April,YES,
AHS2013N,MOVM15,MOVM,N,5,May,YES,
AHS2013N,MOVM15,MOVM,N,6,June,YES,
AHS2013N,MOVM15,MOVM,N,7,July,YES,
AHS2013N,MOVM15,MOVM,N,8,August,YES,
AHS2013N,MOVM15,MOVM,N,9,September,YES,
AHS2013N,MOVM16,MOVM,N,1,January,YES,
AHS2013N,MOVM16,MOVM,N,10,October,YES,
AHS2013N,MOVM16,MOVM,N,11,November,YES,
AHS2013N,MOVM16,MOVM,N,12,December,YES,
AHS2013N,MOVM16,MOVM,N,2,February,YES,
AHS2013N,MOVM16,MOVM,N,3,March,YES,
AHS2013N,MOVM16,MOVM,N,4,April,YES,
AHS2013N,MOVM16,MOVM,N,5,May,YES,
AHS2013N,MOVM16,MOVM,N,6,June,YES,
AHS2013N,MOVM16,MOVM,N,7,July,YES,
AHS2013N,MOVM16,MOVM,N,8,August,YES,
AHS2013N,MOVM16,MOVM,N,9,September,YES,
AHS2013N,MOVM17,MOVM,N,1,January,YES,
AHS2013N,MOVM17,MOVM,N,10,October,YES,
AHS2013N,MOVM17,MOVM,N,11,November,YES,
